neighborhood,year,sale_price_sqr_foot,housing_units,gross_rent
Telegraph Hill,2014,708.1930316849231,380348,3528
Telegraph Hill,2015,996.9902204858653,382295,3739
Telegraph Hill,2016,903.0497705987848,384242,4390
Twin Peaks,2010,331.55599614560697,372560,1239
Twin Peaks,2011,284.56696642681646,374507,1530
Twin Peaks,2012,304.89964760284107,376454,2324
Twin Peaks,2013,414.43569251368126,378401,2971
Twin Peaks,2014,562.9112337982453,380348,3528
Twin Peaks,2015,417.33537892280015,382295,3739
Twin Peaks,2016,970.08547008547,384242,4390
Union Square District,2010,569.1934475267735,372560,1239
Union Square District,2011,302.12325280969134,374507,1530
Union Square District,2012,445.1967876448791,376454,2324
Union Square District,2013,1290.472106646641,378401,2971
Union Square District,2014,558.2711194060469,380348,3528
Union Square District,2015,2258.702831998355,382295,3739
Van Ness/ Civic Center,2010,108.0129268765048,372560,1239
Van Ness/ Civic Center,2011,384.23680203579306,374507,1530
Van Ness/ Civic Center,2012,345.95804038831767,376454,2324
Van Ness/ Civic Center,2013,285.0095060630079,378401,2971
Van Ness/ Civic Center,2014,475.39318681250677,380348,3528
Van Ness/ Civic Center,2015,677.8382318281795,382295,3739
Van Ness/ Civic Center,2016,552.6025671312701,384242,4390
Visitacion Valley,2013,293.2983722057751,378401,2971
Visitacion Valley,2014,282.02546830016496,380348,3528
Visitacion Valley,2015,302.2218727063018,382295,3739
Visitacion Valley,2016,328.31900668576884,384242,4390
West Portal,2010,392.30076417058257,372560,1239
West Portal,2012,325.79541506433713,376454,2324
West Portal,2013,588.0747967826295,378401,2971
West Portal,2014,687.7829633004552,380348,3528
Western Addition,2010,215.56913431487555,372560,1239
Western Addition,2011,227.41898086494461,374507,1530
Western Addition,2012,274.33846004864847,376454,2324
Western Addition,2013,217.0890689540353,378401,2971
Western Addition,2014,429.4883174233179,380348,3528
Western Addition,2015,481.46924427394237,382295,3739
Westwood Highlands,2011,320.0743330547439,374507,1530
Westwood Highlands,2013,747.3335378171588,378401,2971
Westwood Park,2014,742.9797231632554,380348,3528
Westwood Park,2016,631.1954258724091,384242,4390
Yerba Buena,2010,333.12677384193887,372560,1239
Yerba Buena,2011,438.86054508174806,374507,1530
Yerba Buena,2012,491.8140030500954,376454,2324
Yerba Buena,2013,753.0114133184368,378401,2971
Yerba Buena,2014,479.9237488133093,380348,3528
Yerba Buena,2015,963.5226061641273,382295,3739
